Filename,Duration (s),True Count,Baseline Count,CRNN Count
Bowl_0.wav,29.98,,0,0
Bowl_1.wav,44.94,,0,0
Bowl_2.wav,59.96,,0,0
Bowl_3.wav,89.87,,0,0
